sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
3,2,1,0.1,0.1,0.5,0.05,0.3,0.05,0.005,0.004976,0.850549
3,2,1,0.1,0.1,0.4,0.05,0.45,0.05,0.010,0.009894,0.784736
3,2,1,0.2,0.2,0.4,0.05,0.45,0.05,0.015,0.014524,0.738287
3,2,1,0.25,0.25,0.4,0.05,0.45,0.1,0.020,0.019961,0.699223
3,2,1,0.2,0.2,0.5,0.05,0.45,0.1,0.025,0.024551,0.668745
3,2,1,0.1,0.1,0.45,0.05,0.6,0.1,0.030,0.029611,0.630923
3,2,1,0.25,0.25,0.4,0.05,0.55,0.1,0.035,0.034523,0.601669
3,2,1,0.2,0.2,0.45,0.05,0.6,0.05,0.040,0.0393,0.579336
3,2,1,0.2,0.2,0.45,0.05,0.6,0.1,0.045,0.042646,0.55611
3,2,1,0.25,0.25,0.45,0.05,0.6,0.1,0.050,0.048482,0.531927
3,2,1,0.2,0.2,0.45,0.05,0.7,0.1,0.055,0.054592,0.515864
3,2,1,0.25,0.25,0.5,0.05,0.6,0.1,0.060,0.057939,0.496546
3,2,1,0.2,0.2,0.6,0.05,0.6,0.1,0.065,0.064863,0.477361
3,2,1,0.35,0.35,0.5,0.05,0.6,0.1,0.070,0.068186,0.465131
3,2,1,0.25,0.25,0.5,0.05,0.65,0.15,0.075,0.07446,0.44546
3,2,1,0.2,0.2,0.65,0.05,0.6,0.15,0.080,0.079255,0.434162
3,1,2,0.2,0.2,0.65,0.05,0.6,0.25,0.085,0.084871,0.418339
3,2,1,0.25,0.25,0.65,0.05,0.6,0.15,0.090,0.089883,0.404033
3,2,1,0.25,0.25,0.65,0.05,0.65,0.1,0.095,0.094569,0.39255
3,2,1,0.25,0.25,0.65,0.15,0.6,0.15,0.100,0.099306,0.383115
3,2,1,0.35,0.35,0.65,0.05,0.6,0.15,0.105,0.104936,0.368822
3,2,1,0.35,0.35,0.6,0.05,0.65,0.15,0.110,0.108972,0.360733
3,1,2,0.35,0.35,0.7,0.05,0.6,0.15,0.115,0.114832,0.349651
3,2,1,0.35,0.35,0.65,0.05,0.65,0.15,0.120,0.119614,0.335684
3,2,1,0.35,0.35,0.65,0.1,0.65,0.15,0.125,0.124382,0.327808
3,2,1,0.25,0.25,0.75,0.1,0.65,0.15,0.130,0.128505,0.320451
3,2,1,0.25,0.25,0.75,0.15,0.65,0.15,0.135,0.133873,0.310301
3,2,1,0.25,0.25,0.8,0.1,0.65,0.15,0.140,0.139257,0.30191
3,2,1,0.35,0.35,0.75,0.05,0.65,0.15,0.145,0.14476,0.291465
3,2,1,0.35,0.35,0.75,0.1,0.65,0.15,0.150,0.149528,0.283589
3,1,2,0.25,0.25,0.85,0.05,0.65,0.25,0.155,0.154609,0.274676
3,1,2,0.25,0.25,0.9,0.05,0.65,0.2,0.160,0.159972,0.269217
3,1,2,0.25,0.25,0.85,0.05,0.65,0.3,0.165,0.164466,0.261249
3,2,1,0.35,0.35,0.65,0.05,0.75,0.25,0.170,0.16904,0.25439
3,1,2,0.35,0.35,0.85,0.05,0.65,0.2,0.175,0.174333,0.245178
3,1,2,0.35,0.35,0.85,0.05,0.65,0.25,0.180,0.179423,0.237821
3,2,1,0.35,0.35,0.7,0.05,0.75,0.25,0.185,0.1845,0.232704
3,1,2,0.35,0.35,0.9,0.05,0.65,0.2,0.190,0.187737,0.227258
3,1,2,0.35,0.35,0.9,0.05,0.65,0.25,0.195,0.193244,0.219696
3,2,1,0.25,0.25,0.8,0.15,0.8,0.2,0.200,0.199839,0.211918
3,2,1,0.35,0.35,0.7,0.1,0.8,0.25,0.205,0.203414,0.206857
3,2,1,0.35,0.35,0.7,0.15,0.8,0.25,0.210,0.209345,0.200627
3,2,1,0.35,0.35,0.8,0.1,0.8,0.15,0.215,0.214099,0.194692
3,2,1,0.35,0.35,0.75,0.1,0.8,0.25,0.220,0.21895,0.187541
3,2,1,0.35,0.35,0.75,0.15,0.8,0.25,0.225,0.224881,0.18131
3,2,1,0.35,0.35,0.8,0.15,0.8,0.2,0.230,0.229562,0.17576
3,2,1,0.35,0.35,0.85,0.05,0.8,0.2,0.235,0.234258,0.172222
3,2,1,0.25,0.25,0.9,0.15,0.8,0.25,0.240,0.239667,0.16666
3,2,1,0.35,0.35,0.8,0.15,0.8,0.25,0.245,0.241636,0.162235
3,2,1,0.35,0.35,0.8,0.2,0.8,0.25,0.250,0.24926,0.155821
